"","x"
"1",0.734192037470726
"2",0.728922716627635
"3",0.74408014571949
"4",0.750731850117096
"5",0.755550351288056
"6",0.759465261514442
"7",0.731396071309086
"8",0.738491656908665
"9",0.745872726747044
"10",0.738032786885246
"11",0.730727543693267
"12",0.737208886286755
"13",0.735265995039009
"14",0.729550016728003
"15",0.733619568045798
"16",0.737105715749415
"17",0.732482192491268
"18",0.726689218492497
"19",0.729109226906784
"20",0.730140515222482
